wave_id,t_w0,t_U,duration,dh,true_h0,error_pct,upwelling_detected,upwelling_depth
20260320_145325,1190.0,3345.0,2155.0,117.00780344684631,101.22651984039518,15.590068325310034,True,198.39679358717433
20260320_145326,1140.0,3045.0,1905.0,154.80064725452883,127.11340545784347,21.781527838830257,True,190.38076152304606
20260320_145328,1285.0,3010.0,1725.0,146.0687108391673,126.64310929757036,15.338853925287834,True,214.42885771543084
20260320_145329,1415.0,3135.0,1720.0,85.15856212502655,80.53219996471972,5.7447358476902215,True,236.47294589178355
20260320_145331,1320.0,3020.0,1700.0,126.68351596183099,111.79522360685087,13.317467307313263,True,220.44088176352702
20260320_145332,1175.0,3080.0,1905.0,132.25930971087317,112.63873026237204,17.41903464536439,True,196.39278557114227
20260320_145334,1140.0,3140.0,2000.0,127.18353962555061,107.94595996853724,17.821491107791807,True,190.38076152304606
20260320_145335,805.0,2850.0,2045.0,212.10635113597476,143.22480546447161,48.093307195023506,True,134.26853707414827
20260320_145336,1115.0,2960.0,1845.0,113.52697767443864,99.238389961253,14.398246201660992,True,186.37274549098194
20260320_145337,865.0,2865.0,2000.0,138.93504117471065,108.32353821406831,28.25932707270702,True,144.2885771543086
20260320_145339,1415.0,3295.0,1880.0,137.31916820448464,120.65397271927148,13.81238852697248,True,236.47294589178355
20260320_145340,1330.0,3120.0,1790.0,165.60526939397585,140.2225193228394,18.101764391136655,True,222.4448897795591
20260320_145341,985.0,2910.0,1925.0,135.03181994318757,111.02163917561265,21.626577436490482,True,164.32865731462925
20260320_145343,1450.0,3210.0,1760.0,153.24795580725996,133.82591013778824,14.51291879836619,True,242.48496993987973
20260320_145344,1045.0,3320.0,2275.0,191.77415490657108,144.3733932389045,32.83206178386991,True,174.34869739478955
20260320_145346,1130.0,3160.0,2030.0,124.49998595126195,105.63711378623711,17.856292631389916,True,188.376753507014
20260320_145347,1330.0,3045.0,1715.0,158.7493085823541,137.10105820966047,15.789995099518677,True,222.4448897795591
20260320_145348,1190.0,3155.0,1965.0,173.09098652635882,138.57812508681684,24.904985125120042,True,198.39679358717433
20260320_145350,960.0,3465.0,2505.0,146.99471238165498,114.26574807264805,28.642847800898704,True,160.3206412825651
20260320_145351,1175.0,3015.0,1840.0,137.97848400722617,116.84967081056944,18.082047685790798,True,196.39278557114227
20260320_145352,1310.0,3090.0,1780.0,175.76603206276636,146.0566322922507,20.341013827478168,True,218.43687374749496
20260320_145354,1260.0,3130.0,1870.0,109.25104704953107,97.15087465153036,12.45503186811515,True,210.42084168336672
20260320_145355,1260.0,3025.0,1765.0,162.16650797117683,136.21004684190444,19.056201602661066,True,210.42084168336672
20260320_145357,1070.0,3130.0,2060.0,109.44811647492413,93.80450907401388,16.676818156542023,True,178.3567134268537
20260320_145358,1210.0,2995.0,1785.0,109.14235614949695,96.63681326916166,12.940764970698801,True,202.40480961923845
20260320_145359,1390.0,3315.0,1925.0,102.03752093169462,93.46837048994263,9.167968155253165,True,232.4649298597194
20260320_145401,1370.0,3115.0,1745.0,146.11511494681312,127.52449998071378,14.578073208607675,True,228.45691382765528
20260320_145402,1320.0,3085.0,1765.0,162.94192507696866,137.68588290593942,18.343232899398252,True,220.44088176352702
20260320_145404,865.0,3285.0,2420.0,203.10489070651397,141.4513963797082,43.58634549022396,True,144.2885771543086
20260320_145405,1380.0,3180.0,1800.0,94.91216327051039,87.61786121469738,8.325131376967953,True,230.46092184368734
20260320_145407,1020.0,3010.0,1990.0,199.58543689588774,149.55948695565723,33.448864367301994,True,170.34068136272543
20260320_145408,985.0,2915.0,1930.0,132.9077150727477,108.84818127514491,22.10375360961285,True,164.32865731462925
20260320_145409,865.0,3290.0,2425.0,120.5215434819164,95.95177048020682,25.606377952950744,True,144.2885771543086
20260320_145410,1105.0,3160.0,2055.0,106.03627345888741,92.51491747788985,14.61532512767903,True,184.36873747494988
20260320_145412,1070.0,3075.0,2005.0,147.3720198733418,120.91980219294024,21.875836050570335,True,178.3567134268537
20260320_145413,1235.0,3155.0,1920.0,102.3678753321004,92.04582086338355,11.214039238171459,True,206.41282565130257
20260320_145414,1010.0,3285.0,2275.0,190.68377375231861,142.90416315342026,33.43472264527571,True,168.33667334669337
20260320_145416,995.0,3095.0,2100.0,95.04648971706511,82.1668467699177,15.674987483957842,True,166.3326653306613
20260320_145417,1150.0,2970.0,1820.0,94.09398337104575,84.58293658438416,11.244640078407423,True,192.38476953907815
20260320_145419,1330.0,3065.0,1735.0,166.68310924872912,141.18956372739484,18.056253485248074,True,222.4448897795591
20260320_145420,1130.0,3200.0,2070.0,99.63098378309537,87.56410672570252,13.780620289078897,True,188.376753507014
