group,dh,true_h0,error_pct,t_w0,t_U
20260316_125835,86.81548560556318,82.44781655233324,5.297495113721532,1055.0,3495.0
20260316_125836,158.0946389594675,145.01689207736692,9.018085200118312,1465.0,3180.0
20260316_125838,160.92910110804334,128.22077656436431,25.509379540577097,910.0,2910.0
20260316_125839,131.81416497913509,113.44813555938444,16.188921333252715,1030.0,3530.0
20260316_125840,100.6425922693348,93.85976516396912,7.226554523673019,1200.0,3390.0
20260316_125842,114.01220229709696,100.94145031798386,12.948845036343206,910.0,3165.0
20260316_125843,87.7732742547747,81.63743180622286,7.515967017576039,1020.0,3260.0
20260316_125845,162.2697848487332,138.79982692675776,16.909212670964006,1250.0,3250.0
20260316_125846,125.415498094183,112.3137453055509,11.66531554351484,1115.0,3095.0
20260316_125847,131.20322250360604,110.01055377360096,19.264214207683285,935.0,2935.0
20260316_125849,87.60570182410727,83.60588043260239,4.78413883187233,1175.0,3370.0
20260316_125850,113.92987504715444,105.79655601649428,7.6876973475319135,1355.0,3130.0
20260316_125852,92.89973863799844,85.00626499392877,9.285755167143778,945.0,3050.0
20260316_125853,90.5350675847828,88.02148733818717,2.8556439144662504,1405.0,3135.0
20260320_145313,148.38539728706195,129.0449974556092,14.98733016605757,1165.0,3205.0
20260320_145314,178.75614728592691,148.05887310983377,20.733154002408988,1030.0,3185.0
20260320_145315,137.19462972718003,120.87988556691892,13.496657515637123,1175.0,3325.0
20260320_145317,136.4179872233223,129.16854130308954,5.612392806404927,1490.0,3230.0
20260320_145318,83.84534010520746,81.78411987528256,2.5203184103077416,1355.0,3095.0
20260320_145320,118.7912684613501,111.51585506744772,6.524106719624776,1355.0,3240.0
20260320_145321,86.29247417118565,82.0094385973236,5.222612966407783,1130.0,3045.0
20260320_145322,192.84514755398106,145.27081283593532,32.74872205181011,865.0,3130.0
20260320_145324,160.62894090866732,134.7696962064379,19.187729460055067,995.0,2960.0
20260320_145325,109.54478752268707,101.22651984039518,8.217478675951105,1190.0,3345.0
20260320_145326,148.64275699164207,127.11340545784347,16.937121192098584,1140.0,3045.0
20260320_145328,134.70314379208762,126.64310929757036,6.364368767651447,1285.0,3010.0
20260320_145329,79.84816415901074,80.53219996471972,0.84939416284251,1415.0,3135.0
20260320_145331,118.25084716719238,111.79522360685087,5.774507489733134,1320.0,3020.0
20260320_145332,125.30237600299523,112.63873026237204,11.242709955204102,1175.0,3080.0
20260320_145334,117.92192827009237,107.94595996853724,9.241631928108102,1140.0,3140.0
20260320_145335,199.74068641225213,143.22480546447161,39.45956202523861,805.0,2850.0
20260320_145336,104.33564386996113,99.238389961253,5.136373041419068,1115.0,2960.0
