eval_id,w_c_threshold,zeta_target,V_ratio,f_s,V_target,MAE_pct,CI_width,w_MAE,w_CI,loss,is_penalty
39,0.2,-40.0,0.2,4.2,0.1,6.415296586718221,3.5947962428432727,0.7,0.3,5.569146483555736,0
40,0.1,-35.0,0.4,0.2,0.2,5.967975419973517,4.182840845558417,0.7,0.3,5.432435047648987,0
41,0.15,-45.0,0.4,6.2,0.2,7.942076445834222,3.0805316081923886,0.7,0.3,6.483612994541672,0
42,9999.0,-40.0,0.6,0.2,0.3,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
43,0.1,-30.0,0.8,2.2,0.4,6.685121736333177,2.8833138602918016,0.7,0.3,5.544579373520764,0
44,0.05,-45.0,0.2,4.2,0.1,6.402185516994191,5.498066168737428,0.7,0.3,6.130949712517162,0
45,0.1,-40.0,0.4,0.2,0.2,5.952801185087469,3.9242649655286974,0.7,0.3,5.344240319219837,0
46,0.2,-35.0,0.4,8.2,0.2,6.447681941168303,2.9037031451206112,0.7,0.3,5.384488302353994,0
47,0.15,-20.0,0.4,6.2,0.17731999999999998,6.23188615773517,4.648352161730125,0.7,0.3,5.756825958933656,0
48,0.1,-45.0,0.2,0.2,0.1,6.184978588645197,5.021521217832338,0.7,0.3,5.835941377401339,0
49,0.05,-40.0,0.8,0.2,0.4,8.476439759796559,3.075192407476976,0.7,0.3,6.8560655541006845,0
50,9999.0,-35.0,0.4,8.2,0.2,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
51,0.15,-25.0,0.6,4.2,0.3,6.140499022531975,3.707642784682314,0.7,0.3,5.410642151177076,0
52,0.1,-45.0,0.4,2.2,0.2,10.701838992876707,3.3183119359241533,0.7,0.3,8.486780875790942,0
53,0.2,-40.0,0.4,10.0,0.2,6.315436920836965,3.3412874793304286,0.7,0.3,5.423192088385004,0
54,0.1,-30.0,0.2,0.2,0.1,6.370488668323174,5.451737849555366,0.7,0.3,6.094863422692831,0
55,0.05,-45.0,0.8,8.2,0.4,9.376371953418415,3.1892644731073543,0.7,0.3,7.520239709325097,0
56,0.1,-40.0,0.4,0.2,0.2,5.952801185087469,3.9242649655286974,0.7,0.3,5.344240319219837,0
57,0.15,-35.0,0.4,6.2,0.2,6.136246737974645,3.8688176144981767,0.7,0.3,5.456018000931704,0
58,0.1,-30.0,0.6,10.0,0.3,6.141210944871204,3.491354483443185,0.7,0.3,5.3462540064427975,0
59,9999.0,-25.0,0.4,0.2,0.2,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
60,0.1,-45.0,0.4,2.2,0.2,10.701838992876707,3.3183119359241533,0.7,0.3,8.486780875790942,0
61,0.05,-40.0,1.0,4.2,0.5,11.137298168541417,3.3619525069306686,0.7,0.3,8.804694470058191,0
62,0.2,-45.0,1.0,0.2,0.5,6.649289870101172,2.8338798693513767,0.7,0.3,5.5046668698762335,0
