wave_id,trajectory_file,C_p_true,theta_true,C_p_calc,theta_calc,C_p_error,theta_error,t1_ref,t2_ref,t3_ref,t1_obs,t2_obs,t3_obs,node1_X0,node1_Y0,node1_T0,node1_t_w0,node1_t_peak,node1_t_U,node1_dh,node1_error_pct,node1_x_enc,node1_y_enc,node1_z_enc,node2_X0,node2_Y0,node2_T0,node2_t_w0,node2_t_peak,node2_t_U,node2_dh,node2_error_pct,node2_x_enc,node2_y_enc,node2_z_enc,node3_X0,node3_Y0,node3_T0,node3_t_w0,node3_t_peak,node3_t_U,node3_dh,node3_error_pct,node3_x_enc,node3_y_enc,node3_z_enc
run_20260325_143535,Analysis_C_Data/Trajectories/traj_run_20260325_143535_L6800_H2000_Thneg15.npz,2.0903018812412815,-15.0,2.090301881241288,-15.000000000000059,6.661338147750939e-15,5.861977570020827e-14,9163.80986040656,10380.896003458982,9619.103996541018,9581.525291268284,10798.611434320705,10036.819427402741,-251.30260521042084,0.0,8021.525291268284,9236.525291268284,9581.525291268284,10236.525291268284,,,91.89739478957915,0.0,307.80146944988326,-3063.1390111371284,-2766.509719177791,9238.611434320705,10453.611434320705,10798.611434320705,11453.611434320705,,,-2719.9390111371285,-2766.509719177791,307.80146944988326,-1303.169504439987,3801.7858995878737,8476.819427402741,9691.819427402741,10036.819427402741,10691.819427402741,,,-959.9695044399868,3801.7858995878737,307.80146944988326
run_20260325_143537,Analysis_C_Data/Trajectories/traj_run_20260325_143537_L6800_H2000_Thneg15.npz,2.500605235435121,-15.0,2.500605235435119,-15.000000000000025,1.7763568394002505e-15,2.4868995751603507e-14,9289.91842424755,10323.45183413125,9676.54816586875,9495.369326051157,10528.902735934858,9881.999067672357,-280.40080160320645,0.0,8015.369326051156,9325.369326051157,9495.369326051157,9835.369326051157,,,45.19919839679358,0.0,350.79252408616435,-3092.2372075299136,-2766.509719177791,9048.902735934858,10358.902735934858,10528.902735934858,10868.902735934858,,,-2766.6372075299137,-2766.509719177791,350.7925240861642,-1332.2677008327726,3801.7858995878737,8401.999067672357,9711.999067672357,9881.999067672357,10221.999067672357,,,-1006.6677008327725,3801.7858995878737,350.79252408616435
run_20260325_143538,Analysis_C_Data/Trajectories/traj_run_20260325_143538_L6800_H2000_Thneg15.npz,1.986066562286969,-15.0,1.9860665622869706,-15.000000000000037,1.5543122344752192e-15,3.730349362740526e-14,9124.300378962529,10398.893110657693,9601.106889342307,9421.063906016638,10695.656637711802,9897.870416396416,-246.0120240480962,0.0,8006.063906016638,9171.063906016638,9421.063906016638,9831.063906016638,,,65.2879759519038,0.0,303.60824762430195,-3057.8484299748034,-2766.509719177791,9280.656637711802,10445.656637711802,10695.656637711802,11105.656637711802,,,-2746.548429974803,-2766.509719177791,303.608247624302,-1297.8789232776624,3801.7858995878737,8482.870416396416,9647.870416396416,9897.870416396416,10307.870416396416,,,-986.5789232776624,3801.7858995878737,303.608247624302
run_20260325_143539,Analysis_C_Data/Trajectories/traj_run_20260325_143539_L6800_H2000_Thneg15.npz,2.457216979623052,-15.0,2.457216979623054,-15.000000000000018,2.220446049250313e-15,1.7763568394002505e-14,9278.410503413834,10328.693848890975,9671.306151109025,9600.174030467942,10650.457375945083,9993.069678163134,-246.0120240480962,0.0,8160.174030467942,9330.174030467942,9600.174030467942,10090.174030467942,,,70.7879759519038,0.0,283.55214737128074,-3057.8484299748034,-2766.509719177791,9210.457375945083,10380.457375945083,10650.457375945083,11140.457375945083,,,-2741.048429974803,-2766.509719177791,283.55214737128074,-1297.8789232776624,3801.7858995878737,8553.069678163134,9723.069678163134,9993.069678163134,10483.069678163134,,,-981.0789232776624,3801.7858995878737,283.55214737128074
run_20260325_143541,Analysis_C_Data/Trajectories/traj_run_20260325_143541_L6800_H2000_Thneg15.npz,2.497430609604492,-15.0,2.4974306096044967,-15.000000000000034,4.884981308350689e-15,3.375077994860476e-14,9289.088874707528,10323.829705251112,9676.170294748888,9528.227151260635,10562.967981804217,9915.308571301994,-314.78957915831666,0.0,7858.227151260634,9328.227151260635,9528.227151260635,9868.227151260635,,,52.61042084168332,0.0,356.58893601975603,-3126.625985085024,-2766.509719177791,8892.967981804217,10362.967981804217,10562.967981804217,10902.967981804217,,,-2759.2259850850237,-2766.509719177791,356.58893601975603,-1366.6564783878828,3801.7858995878737,8245.308571301994,9715.308571301994,9915.308571301994,10255.308571301994,,,-999.2564783878828,3801.7858995878737,356.58893601975603
run_20260325_143542,Analysis_C_Data/Trajectories/traj_run_20260325_143542_L6800_H2000_Thneg15.npz,2.175119124012242,-15.0,2.17511912401224,-14.999999999999957,1.7763568394002505e-15,4.263256414560601e-14,9193.421474025914,10367.40750993397,9632.59249006603,9467.44953013814,10641.435566046195,9906.620546178256,-216.91382765531063,0.0,8207.44953013814,9242.44953013814,9467.44953013814,9947.44953013814,,,60.28617234468936,0.0,262.1461304216373,-3028.750233582018,-2766.509719177791,9381.435566046195,10416.435566046195,10641.435566046195,11121.435566046195,,,-2751.5502335820183,-2766.509719177791,262.1461304216373,-1268.7807268848767,3801.7858995878737,8646.620546178256,9681.620546178256,9906.620546178256,10386.620546178256,,,-991.5807268848766,3801.7858995878737,262.1461304216373
run_20260325_143543,Analysis_C_Data/Trajectories/traj_run_20260325_143543_L6800_H2000_Thneg15.npz,2.4512499659881524,-15.0,2.4512499659881537,-15.000000000000014,1.3322676295501878e-15,1.4210854715202004e-14,9276.798623425157,10329.42808219112,9670.57191780888,9599.393813805918,10652.023272571882,9993.167108189642,-264.5290581162325,0.0,8074.393813805918,9329.393813805918,9599.393813805918,10089.393813805918,,,70.97094188376752,0.0,326.0322143677079,-3076.36546404294,-2766.509719177791,9127.023272571882,10382.023272571882,10652.023272571882,11142.023272571882,,,-2740.86546404294,-2766.509719177791,326.03221436770787,-1316.3959573457987,3801.7858995878737,8468.167108189642,9723.167108189642,9993.167108189642,10483.167108189642,,,-980.8959573457987,3801.7858995878737,326.0322143677079
run_20260325_143545,Analysis_C_Data/Trajectories/traj_run_20260325_143545_L6800_H2000_Thneg15.npz,1.8579251987318424,-15.0,1.8579251987318435,-14.999999999999982,1.1102230246251565e-15,1.7763568394002505e-14,9070.297788506947,10423.492026510687,9576.507973489313,9483.373940811556,10836.568178815296,9989.584125793923,-211.62324649298594,0.0,8108.373940811556,9143.373940811556,9483.373940811556,10163.373940811556,,,90.87675350701406,0.0,298.1674416063206,-3023.459652419693,-2766.509719177791,9461.568178815296,10496.568178815296,10836.568178815296,11516.568178815296,,,-2720.959652419693,-2766.509719177791,298.1674416063206,-1263.4901457225521,3801.7858995878737,8614.584125793923,9649.584125793923,9989.584125793923,10669.584125793923,,,-960.9901457225521,3801.7858995878737,298.1674416063206
run_20260325_143546,Analysis_C_Data/Trajectories/traj_run_20260325_143546_L6800_H2000_Thneg15.npz,2.476952701060461,-15.0,2.476952701060467,-14.999999999999993,5.773159728050814e-15,7.105427357601002e-15,9283.690940586937,10326.288537801405,9673.711462198595,9638.550660025816,10681.148257240282,10028.571181637471,-235.43086172344692,0.0,8213.550660025816,9343.550660025816,9638.550660025816,10163.550660025816,,,78.06913827655308,0.0,284.8398111551657,-3047.2672676501543,-2766.509719177791,9256.148257240282,10386.148257240282,10681.148257240282,11206.148257240282,,,-2733.7672676501543,-2766.509719177791,284.8398111551657,-1287.297760953013,3801.7858995878737,8603.571181637471,9733.571181637471,10028.571181637471,10553.571181637471,,,-973.797760953013,3801.7858995878737,284.8398111551657
run_20260325_143547,Analysis_C_Data/Trajectories/traj_run_20260325_143547_L6800_H2000_Thneg15.npz,2.554969346365647,-15.0,2.554969346365657,-15.000000000000025,9.769962616701378e-15,2.4868995751603507e-14,9303.829552168472,10317.11512579448,9682.88487420552,9506.304502068273,10519.59007569428,9885.359824105319,-277.75551102204406,0.0,8041.304502068272,9341.304502068273,9506.304502068273,9856.304502068273,,,44.54448897795595,0.0,339.15835533088057,-3089.5919169487515,-2766.509719177791,9054.59007569428,10354.59007569428,10519.59007569428,10869.59007569428,,,-2767.2919169487513,-2766.509719177791,339.1583553308807,-1329.6224102516103,3801.7858995878737,8420.359824105319,9720.359824105319,9885.359824105319,10235.359824105319,,,-1007.3224102516103,3801.7858995878737,339.1583553308805
